Dialogue_ID,Utterance_ID,Speaker,Utterance,Emotion,Predicted_Emotion,Word_Count
41,2,Rachel,I can’t believe it! He still hasn’t called.,anger,surprise,8
150,4,Janice,Good-bye Chandler Bing.,sadness,joy,3
199,5,Monica,"Ohh, sweetie!  Hey, I bet you anything that he’s gonna call you again.",sadness,joy,13
9,11,Rachel,Everything’s ruined. My bed. My clothes. Look at my favorite blue sweater.,sadness,joy,12
155,0,Ross,"I mean, I don’t feel like I even have a girlfriend anymore.",anger,sadness,12
72,9,Rachel,And if you bring in one woman and she has her baby before me I’m going to sue you!,anger,sadness,19
34,14,Rachel,I mean sex does not have to be a big deal!,anger,sadness,11
260,1,Rachel,I didn’t!,joy,surprise,2
136,0,Rachel,Oh my God! That is so good!,joy,surprise,7
215,2,Phoebe,That’s really beautiful. What does it mean?,joy,surprise,7
12,12,Chandler,That’s laughter.,joy,disgust,2
28,14,Phoebe,Oh yeah! I-I would like that.,joy,disgust,6
104,0,Joey,"Excellent! Excellent! And uh, finally, are you into any weird stuff y’know, sexually?",joy,disgust,13
246,2,Joey,That’s crazy.,surprise,disgust,2
198,4,Chandler,"What are you still doing here? She just broke up with the guy, it's time for you to swoop in!",surprise,disgust,20
13,3,Phoebe,"You're not? See, that's why you're so great!",surprise,disgust,8
17,4,Chandler,Don’t look honey. Change the channel! Change the channel!,disgust,anger,9
254,14,Ross,"That's nice. Get out Let's go, come on.",disgust,anger,8
237,3,Joey,"I don't know. We're talking about whipped fish, Monica. I'm just happy I'm keeping it down, y'know?",disgust,anger,17
143,8,Chandler,A hundred and forty-five pounds.,disgust,neutral,5
230,8,Phoebe,Ewww!,disgust,neutral,1
17,14,Ross,"Yeah, I’m gonna go to a doctor who went to school in a mini-mall.",disgust,neutral,14
200,0,Joey,I don’t get it!,surprise,fear,4
41,8,Phoebe,Oh no!,surprise,fear,2
166,2,Chandler,"Joey, you have to tell her what’s going on! And what did it  look like?!",surprise,fear,15
153,11,Chandler,"Yeah, Joe, I assure you if I'm staring down the barrel of a gun, I'm pretty much peeing every which way.",fear,neutral,21
182,4,Phoebe,Help!,fear,neutral,1
29,10,Chandler,"Ok, go quick!",fear,neutral,3
32,10,Phoebe Sr,"Oh, poor Lily.",sadness,surprise,3
53,7,Rachel,Oh my God! We are throwing the most depressing baby shower ever!,sadness,surprise,12
101,2,Phoebe,"Hey, why are you mopping your ceiling?",sadness,surprise,7
73,0,Joey,"Ross-Ross-Ross-Ross! Stay away from that guy , and that guy . And that one—Dude! They’re all huge!",fear,disgust,17
37,3,Joey,And you got a 'hate' from that?! Your taking a big leap there...,fear,disgust,13
169,6,Phoebe,I can and I will!,anger,fear,5
231,8,Chandler,"If they can’t find a home for her, they kill her! And I’m not gonna let that happen to little Yasmine!",anger,fear,21
37,6,Joey,But what does that gonna do...,anger,fear,6
41,6,Rachel,"No, I don’t.",disgust,fear,3
88,2,Joey,"You guys, can we please not watch this all right.",disgust,fear,10
237,5,Chandler,"Eight and a half hours of aptitude tests, intelligence tests, personality tests... and what do I learn?",disgust,fear,17
58,9,Chandler,"Because you’re still seeing him and uh, he’s a good guy.",sadness,disgust,11
160,12,Joey,No more J-man and Channie’s!,sadness,disgust,5
47,0,Joey,"God, it’s gonna so weird like when I come home and you’re not here.",sadness,disgust,14
96,7,Chandler,"C'mon, we're roommates!  My eyes!! My eyes!!",disgust,joy,7
86,5,Ross,It tastes like feet!,disgust,joy,4
100,14,Phoebe,Why are there only two of you?,fear,surprise,7
100,18,Phoebe,Where are you Leslie?,fear,surprise,4
205,3,Monica,Oh my God. You guys! You gotta come see this! There's some creep out there with a telescope!,fear,surprise,18
163,1,Monica,"Oh, come on.",disgust,sadness,3
205,6,Chandler,I feel violated. And not in a good way.,disgust,sadness,9
130,1,Ross,"Ohh, God, nobody likes him, and he’s so cheap, he’d never fly to London in a million years.",disgust,sadness,18
